epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,1085.86,0.71416,0.44304,0.86888,0.96191,0.93632,0.97194,0.83338,0.61788,0.39142,0.82842,0.0002081,0.0002081,0.0002081
183,1091.86,0.69613,0.43555,0.86561,0.97246,0.92624,0.97243,0.83166,0.62424,0.39165,0.82878,0.0001982,0.0001982,0.0001982
184,1097.82,0.69232,0.43548,0.86728,0.96314,0.9386,0.97487,0.83141,0.62545,0.39325,0.82911,0.0001883,0.0001883,0.0001883
185,1103.76,0.68599,0.42931,0.865,0.96456,0.9362,0.97305,0.83509,0.61757,0.39311,0.82735,0.0001784,0.0001784,0.0001784
186,1109.71,0.70139,0.43793,0.86347,0.96291,0.937,0.97458,0.83486,0.62082,0.3915,0.82867,0.0001685,0.0001685,0.0001685
187,1115.67,0.7005,0.43721,0.86339,0.96818,0.93417,0.97594,0.83479,0.61983,0.38935,0.82839,0.0001586,0.0001586,0.0001586
188,1121.63,0.68868,0.4332,0.86345,0.9699,0.9378,0.97645,0.83701,0.61206,0.3876,0.82617,0.0001487,0.0001487,0.0001487
189,1127.59,0.68049,0.427,0.86158,0.96543,0.9366,0.97577,0.83694,0.61336,0.38735,0.82669,0.0001388,0.0001388,0.0001388
190,1133.57,0.68783,0.42988,0.86347,0.96276,0.94099,0.97556,0.83569,0.61187,0.38927,0.82672,0.0001289,0.0001289,0.0001289
191,1139.8,0.62514,0.4012,0.84442,0.96874,0.93581,0.97503,0.83155,0.62869,0.39659,0.8291,0.000119,0.000119,0.000119
192,1145.68,0.61411,0.39131,0.84309,0.96259,0.94298,0.97634,0.83147,0.625,0.39318,0.82817,0.0001091,0.0001091,0.0001091
193,1151.48,0.60566,0.38625,0.84096,0.96513,0.94179,0.97531,0.83239,0.62574,0.39193,0.82814,9.92e-05,9.92e-05,9.92e-05
194,1157.25,0.60922,0.38786,0.84163,0.96574,0.94419,0.97599,0.8368,0.61726,0.38841,0.82697,8.93e-05,8.93e-05,8.93e-05
195,1163.02,0.60213,0.38342,0.83864,0.96485,0.94657,0.97572,0.8343,0.61878,0.38847,0.828,7.94e-05,7.94e-05,7.94e-05
196,1168.81,0.59102,0.38079,0.83762,0.96413,0.94318,0.97599,0.83634,0.61474,0.38608,0.82768,6.95e-05,6.95e-05,6.95e-05
197,1174.58,0.59696,0.38201,0.83979,0.96532,0.9433,0.97623,0.83804,0.61253,0.38569,0.82691,5.96e-05,5.96e-05,5.96e-05
198,1180.37,0.58444,0.37839,0.83856,0.96073,0.94625,0.97634,0.83812,0.61402,0.38642,0.82707,4.97e-05,4.97e-05,4.97e-05
199,1186.16,0.58637,0.37756,0.8362,0.96183,0.9444,0.97588,0.839,0.61173,0.38453,0.82669,3.98e-05,3.98e-05,3.98e-05
200,1191.94,0.58557,0.37734,0.83629,0.96423,0.94597,0.97622,0.83899,0.61005,0.38422,0.8263,2.99e-05,2.99e-05,2.99e-05
