epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,249.518,1.0121,0.62023,0.94429,0.91129,0.87241,0.93532,0.69389,0.96512,0.6,0.91018,0.0015941,0.0015941,0.0015941
43,255.464,1.01264,0.62361,0.94551,0.92608,0.87421,0.9352,0.68952,0.984,0.5951,0.91092,0.0015842,0.0015842,0.0015842
44,261.506,1.03672,0.6258,0.9506,0.92944,0.87705,0.93666,0.70139,0.96129,0.59965,0.90472,0.0015743,0.0015743,0.0015743
45,267.474,1.02914,0.62267,0.94738,0.93906,0.88479,0.94513,0.69913,0.96369,0.57788,0.90798,0.0015644,0.0015644,0.0015644
46,273.426,1.00353,0.6099,0.94106,0.94015,0.87055,0.93894,0.70021,0.97624,0.57354,0.91439,0.0015545,0.0015545,0.0015545
47,279.371,1.01981,0.62061,0.94668,0.92898,0.88477,0.93961,0.70892,0.93932,0.57521,0.90319,0.0015446,0.0015446,0.0015446
48,285.33,1.01317,0.61454,0.94058,0.9396,0.88118,0.94339,0.7044,0.95188,0.57751,0.90652,0.0015347,0.0015347,0.0015347
49,291.288,0.99439,0.61129,0.9421,0.92422,0.87049,0.93269,0.69007,0.97486,0.59887,0.91215,0.0015248,0.0015248,0.0015248
50,297.302,0.99042,0.60034,0.93788,0.93268,0.87879,0.94438,0.70829,0.94062,0.57973,0.90484,0.0015149,0.0015149,0.0015149
51,303.276,0.97088,0.59392,0.92947,0.93653,0.88841,0.9468,0.71089,0.93054,0.5794,0.901,0.001505,0.001505,0.001505
52,309.245,0.9897,0.59713,0.9395,0.93604,0.89274,0.94478,0.71136,0.93029,0.57598,0.90347,0.0014951,0.0014951,0.0014951
53,315.178,0.96912,0.58631,0.92903,0.94132,0.88915,0.94712,0.7214,0.91329,0.55093,0.89849,0.0014852,0.0014852,0.0014852
54,321.145,0.99641,0.60344,0.93996,0.93075,0.86815,0.93944,0.71349,0.91881,0.5661,0.8968,0.0014753,0.0014753,0.0014753
55,327.085,0.96519,0.58779,0.92805,0.92834,0.87813,0.93559,0.71098,0.9121,0.57342,0.90361,0.0014654,0.0014654,0.0014654
56,333.021,0.94757,0.57119,0.92618,0.9337,0.89394,0.95264,0.7275,0.90272,0.54012,0.89077,0.0014555,0.0014555,0.0014555
57,339.043,0.95503,0.57558,0.92867,0.95341,0.88955,0.9556,0.72922,0.89998,0.53397,0.89148,0.0014456,0.0014456,0.0014456
58,345.064,0.96782,0.5886,0.9312,0.94471,0.88118,0.94373,0.72125,0.89907,0.54632,0.89239,0.0014357,0.0014357,0.0014357
59,351.125,0.94847,0.58015,0.92846,0.94371,0.89474,0.9519,0.72247,0.91843,0.54079,0.89642,0.0014258,0.0014258,0.0014258
60,357.177,0.93615,0.56895,0.92833,0.93404,0.87521,0.94463,0.7171,0.90777,0.56615,0.89614,0.0014159,0.0014159,0.0014159
61,363.118,0.95835,0.58027,0.92605,0.94427,0.89234,0.95251,0.73309,0.89556,0.52666,0.88827,0.001406,0.001406,0.001406
62,369.082,0.92639,0.56108,0.92267,0.94782,0.89082,0.95349,0.72443,0.91172,0.52954,0.89579,0.0013961,0.0013961,0.0013961
63,375.127,0.94879,0.57398,0.92479,0.93715,0.8858,0.94814,0.72542,0.89362,0.54864,0.8903,0.0013862,0.0013862,0.0013862
64,381.084,0.9431,0.57454,0.92651,0.9455,0.89239,0.95738,0.73329,0.87761,0.52788,0.88486,0.0013763,0.0013763,0.0013763
65,387.074,0.93536,0.5634,0.9213,0.93979,0.88995,0.94956,0.72628,0.88713,0.54112,0.88874,0.0013664,0.0013664,0.0013664
66,393.005,0.94273,0.56615,0.92642,0.95048,0.88636,0.94949,0.73433,0.87717,0.53863,0.88737,0.0013565,0.0013565,0.0013565
67,399.056,0.94428,0.57139,0.92398,0.93898,0.9059,0.95372,0.73173,0.88321,0.52271,0.88654,0.0013466,0.0013466,0.0013466
68,405.01,0.92612,0.55694,0.92137,0.94718,0.89375,0.9557,0.73975,0.86858,0.52495,0.88279,0.0013367,0.0013367,0.0013367
69,411.017,0.91673,0.55254,0.91665,0.94724,0.89514,0.9544,0.74289,0.84848,0.53748,0.87952,0.0013268,0.0013268,0.0013268
70,417.03,0.92166,0.55471,0.9187,0.94366,0.89486,0.95591,0.73786,0.86894,0.52957,0.88393,0.0013169,0.0013169,0.0013169
71,423.066,0.92001,0.55393,0.91732,0.95158,0.88596,0.95598,0.75331,0.8391,0.51159,0.87605,0.001307,0.001307,0.001307
72,429.001,0.92581,0.56081,0.91619,0.94489,0.88357,0.94801,0.74083,0.86759,0.52231,0.88436,0.0012971,0.0012971,0.0012971
73,434.744,0.90801,0.54995,0.91803,0.93221,0.91023,0.95376,0.73651,0.87576,0.52799,0.88356,0.0012872,0.0012872,0.0012872
74,440.714,0.93301,0.56604,0.91822,0.93577,0.91197,0.95543,0.74322,0.84518,0.51936,0.87801,0.0012773,0.0012773,0.0012773
75,446.681,0.90105,0.54967,0.91396,0.94762,0.89952,0.95724,0.748,0.84891,0.501,0.88163,0.0012674,0.0012674,0.0012674
76,452.588,0.90356,0.54694,0.91269,0.94638,0.90077,0.95764,0.75222,0.83322,0.5023,0.87604,0.0012575,0.0012575,0.0012575
77,458.688,0.91473,0.55117,0.917,0.93815,0.90714,0.95578,0.75023,0.83776,0.51173,0.87979,0.0012476,0.0012476,0.0012476
78,464.777,0.91083,0.55075,0.9151,0.93447,0.91148,0.95644,0.7447,0.8524,0.52633,0.87909,0.0012377,0.0012377,0.0012377
79,470.722,0.88582,0.53632,0.91029,0.95526,0.90244,0.95847,0.7512,0.8445,0.50561,0.87873,0.0012278,0.0012278,0.0012278
80,476.659,0.89846,0.5434,0.91284,0.95721,0.89394,0.95826,0.75451,0.83699,0.49607,0.8776,0.0012179,0.0012179,0.0012179
81,482.604,0.89742,0.54311,0.91096,0.95923,0.90051,0.95965,0.75897,0.81795,0.49042,0.87397,0.001208,0.001208,0.001208
82,488.611,0.87869,0.53021,0.90728,0.94696,0.89693,0.95465,0.75437,0.82254,0.50315,0.87833,0.0011981,0.0011981,0.0011981
83,494.549,0.87098,0.52869,0.90694,0.95609,0.90293,0.9609,0.7598,0.81815,0.49991,0.87258,0.0011882,0.0011882,0.0011882
84,500.579,0.90394,0.53967,0.90901,0.94007,0.9007,0.95585,0.76042,0.84172,0.49856,0.87865,0.0011783,0.0011783,0.0011783
85,506.555,0.87985,0.53005,0.90729,0.94726,0.90989,0.96071,0.76397,0.8101,0.48323,0.86831,0.0011684,0.0011684,0.0011684
86,512.603,0.87318,0.52664,0.90732,0.96234,0.90351,0.9636,0.76246,0.82438,0.48603,0.86879,0.0011585,0.0011585,0.0011585
87,518.611,0.88279,0.53263,0.91014,0.9428,0.92,0.96356,0.76647,0.80045,0.48065,0.86844,0.0011486,0.0011486,0.0011486
88,524.616,0.87819,0.52957,0.90652,0.96001,0.90937,0.96268,0.76566,0.80253,0.48129,0.86762,0.0011387,0.0011387,0.0011387
89,530.649,0.86393,0.52709,0.90312,0.95726,0.9047,0.9607,0.76711,0.81067,0.48021,0.869,0.0011288,0.0011288,0.0011288
90,536.596,0.86907,0.52444,0.90384,0.94791,0.9067,0.95974,0.76515,0.80293,0.48303,0.86919,0.0011189,0.0011189,0.0011189
91,542.475,0.88914,0.53692,0.90892,0.94959,0.90885,0.95933,0.76195,0.80453,0.48975,0.86639,0.001109,0.001109,0.001109
92,548.446,0.85943,0.52146,0.90256,0.9566,0.90525,0.96019,0.76596,0.79497,0.48137,0.86727,0.0010991,0.0010991,0.0010991
93,554.415,0.86157,0.526,0.90455,0.95829,0.91228,0.96132,0.77178,0.7911,0.47444,0.86675,0.0010892,0.0010892,0.0010892
94,560.304,0.86533,0.52578,0.90178,0.9544,0.91228,0.95932,0.77299,0.77277,0.47659,0.86216,0.0010793,0.0010793,0.0010793
